Drug_Name,Drug_Type,MRP,Manufacturer,Pack_Size,Product_Introduction,Uses,Benefits,How_It_Works,Common_Side_Effects,How_To_Use,Scraped_At
Ulge-Raft Oral Suspension Peppermint Sugar Free,,₹ 157.41,Alembic Pharmaceuticals Ltd,2 tablet,"Ulge-Raft Oral Suspension Peppermint Sugar Free is a medicine used in the treatment of heartburn and indigestion. It neutralizes the acid present in the stomach, and aids proper digestion of food. This way it provides quick relief from pain and discomfort due to heartburn and indigestion. Ulge-Raft Oral Suspension Peppermint Sugar Free may be taken with or without food. Take it in the dose and duration as advised by the doctor. Children below 12 years of age should take only if the doctor advice it. Continue taking the medicine for as long as your doctor recommends. However, do not use the maximum dosage for more than 2 weeks except under the advice and supervision of a doctor. Ulge-Raft Oral Suspension Peppermint Sugar Free does not usually cause any side effects when taken as advised by the doctor. However, in case of overdose, it may lead to bloating. Do not use the maximum dosage for more than 2 weeks unless it is advice by the doctor. Let the doctor know about all other medication",Treatment of Heartburn Treatment of Indigestion,"In Treatment of Heartburn Heartburn is a burning feeling in your chest caused by stomach acids traveling back up towards your throat and mouth (acid reflux). Ulge-Raft Oral Suspension Peppermint Sugar Free improves the movement of food in the stomach and helps prevent heartburn. You should take it exactly as it is prescribed or as it says on the label for it to be effective. Some simple lifestyle changes can help stop or reduce heartburn. Think about what foods trigger heartburn and try to avoid them; eat smaller, more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3 to 4 hours of going to bed. In Treatment of Indigestion Indigestion means discomfort of mainly the upper part of your stomach which may also have other symptoms such as stomach pain, bloating, feeling full etc. Ulge-Raft Oral Suspension Peppermint Sugar Free improves the movement of food in your stomach and gut (intestine). This relieves these symptoms and helps in","Ulge-Raft Oral Suspension Peppermint Sugar Free is a combination of three medications: Calcium carbonate, sodium alginate, and sodium bicarbonate. Calcium carbonate and sodium bicarbonate react with stomach acid, releasing bubbles of carbon dioxide. These bubbles allow the gel to form a strong protective barrier on top of the stomach contents, thereby preventing stomach acid from flowing back into the esophagus. Additionally, sodium bicarbonate dissolves quickly and neutralizes the stomach acid, exerting a rapid buffering action. Sodium alginate reacts with gastric acid present in the stomach and produces a low-density viscous gel that floats on top of the stomach. This forms a physical barrier that protects the esophageal mucosa and the airways from the gastric reflux. Alginate has a rapid onset, providing quick relief from reflux symptoms. Additionally, it has a prolonged duration of action, providing relief for up to 4 hours.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Ulge No common side effects seen,"Take this medicine in the dose and duration as advised by your doctor. Check the label for directions before use. Measure it with a measuring cup and take it by mouth. Shake well before use. Ulge-Raft Oral Suspension Peppermint Sugar Free may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:40
Ulgel Oral Suspension Saunf Sugar Free,,₹ 162,Alembic Pharmaceuticals Ltd,5 ml,"Ulgel Oral Suspension Saunf Sugar Free is a combination medicine used in the treatment of acidity, stomach ulcers, and bloating. It neutralizes excessive acid in the stomach and helps in the easy passage of gas. Promote overall gut health, making daily activities more comfortable. Ulgel Oral Suspension Saunf Sugar Free is taken with food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early, your symptoms may come back, and your condition may worsen. Let your doctor know about all other medications you are taking, as some may affect or be affected by this medicine. The most common side effects are a chalky taste, diarrhea, and constipation. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. To o",Acidity Stomach ulcers Bloating,"In Acidity Ulgel Oral Suspension Saunf Sugar Free relieves excessive acidity in your stomach which prevents heartburn and indigestion. Usually, it is used along with other medicines for management of your condition. Continue taking it for as long as the doctor may advise you to. You need to take this medicine regularly to get the most out of it. Take a fiber-rich diet, avoid oily or spicy food and drink plenty of fluids while taking it to make sure you stay hydrated. In Stomach ulcers Stomach ulcers are painful sores that develop in the inner lining of the stomach or gut (intestine). Ulgel Oral Suspension Saunf Sugar Free reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking Ulgel Oral Suspension Saunf Sugar Free as prescribed by the doctor for it to be effective, even if the symptoms seem to disappear. In Bloati","Ulgel Oral Suspension Saunf Sugar Free is a combination of two medicines, magaldrate and simethicone. Magaldrate is an inorganic salt that neutralizes the excess acid in the stomach. Simethicone is an antifoaming medicine that disintegrates gas bubbles and allows easy passage of gas.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Ulgel Chalky taste Diarrhea Constipation,Take this medicine in the dose and duration as advised by your doctor. Check the label for directions before use. Measure it with a measuring cup and take it by mouth. Shake well before use. Ulgel Oral Suspension Saunf Sugar Free is to be taken with food.,21-10-2025 18:40
Ultrabrite Cream,Cream,₹ 164,Leeford Healthcare Ltd,25.0 gm,"Ultrabrite Cream is a prescription medicine used in the treatment of melasma. It helps in quick skin renewal. It provides relief from redness, swelling, and itching. Ultrabrite Cream should be used in the dose and duration as advised by your doctor. Wash your hands before using this medicine. It is advised to check the label for directions before use. It is for external use only. Do not use this medicine more than the recommended dose. Inform your doctor if you have known allergies from this medicine. The common side effects of this medicine include burning, irritation, itchiness, and redness at the application site. If these side effects or any other symptoms which you think are because of this medicine persist for a longer duration, please consult your doctor. Inform your doctor if you are pregnant or are suffering from any other disease. This medicine is not safe to use in breastfeeding mothers.",Treatment of Melasma,"In Treatment of Melasma Melasma is a common skin problem that causes dark, discolored patches on your skin. It is more commonly seen in females than males. Ultrabrite Cream helps to lighten these dark patches of the skin usually caused by pregnancy, birth control pills, hormone medicine, or injury to the skin. It effectively blocks that process in the skin that leads to discoloration. Ultrabrite Cream also reduces any redness, rash, pain or itchiness that may be caused in this condition. This improves your self-esteem and confidence as your appearance changes. You should always use it as prescribed and only apply the amount you have been told to. Keep using it for as long as it is prescribed to get the full benefits.","Ultrabrite Cream is a combination of three medicines: Hydroquinone, Mometasone and Tretinoin, which treats melasma (dark spots on skin). Hydroquinone is a skin lightening medicine. It reduces the amount of a skin pigment (melanin) that causes darkening of skin. This effect is reversible. Mometasone is a steroid which blocks the production of certain chemical messengers (prostaglandins) that make the skin red, swollen and itchy. Tretinoin is a form of vitamin A that helps the skin to renew itself more quickly.","Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Ultrabrite Application site reactions (burning, irritation, itching and redness)","This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Clean and dry the affected area and apply the cream. Wash your hands after applying, unless hands are the affected area.",21-10-2025 18:41
Ultracet Semi Tablet,Tablet,,Janssen Pharmaceuticals,,"Ultracet Semi Tablet is a combination of two pain killer medicines that is used to relieve moderate to severe pain. Ultracet Semi Tablet should be taken in the dose and duration advised by your doctor. It may be taken with or without food. In case you experience stomach upset then take the medicine with food. It is important not to miss doses and to keep taking them until your doctor tells you it is safe to stop. Do not stop using this medicine without asking your doctor. This medicine may cause side effects like vomiting, nausea, dryness in the mouth, dizziness, and constipation in some patients. These are usually mild and disappear after a short time. Inform your doctor immediately if any rash or allergic reaction is observed while taking this medicine. If you are pregnant, thinking about becoming pregnant, or breastfeeding, ask your doctor before taking this medicine.",Moderate to severe pain,"In Moderate to severe pain Ultracet Semi Tablet effectively relieves moderate to severe pain in conditions like menstrual cramp, arthritis, headache, muscle aches if taken when the first signs of pain occur. It works by reducing substances in the body that causes pain. This gives relief from pain and discomfort and thus improves the quality of your life. Take Ultracet Semi Tablet by mouth as directed by your doctor.",Ultracet Semi Tablet is a combination of two medicines: Tramadol and Paracetamol which relieve severe pain. Tramadol is an opoid analgesic (pain reliever) which works by blocking the transmission of pain signals to the brain to lower pain perception. Paracetamol works by blocking the release of certain chemical messengers that cause pain.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Ultracet Nausea Vomiting Constipation Dizziness Dryness in mouth Sleepiness Diarrhea Abdominal pain Dyspepsia Flatulence Headache Trembling Anxiety Sleep disorder Itching,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Ultracet Semi Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:41
Ultracet Tablet,Tablet,,Janssen Pharmaceuticals,,"Ultracet Tablet is a combination of two pain killer medicines that is used to relieve moderate to severe pain. Ultracet Tablet should be taken in the dose and duration advised by your doctor. It may be taken with or without food. In case you experience stomach upset then take the medicine with food. It is important not to miss doses and to keep taking them until your doctor tells you it is safe to stop. Do not stop using this medicine without asking your doctor. This medicine may cause side effects like vomiting, nausea, dryness in the mouth, dizziness, and constipation in some patients. These are usually mild and disappear after a short time. Inform your doctor immediately if any rash or allergic reaction is observed while taking this medicine. If you are pregnant, thinking about becoming pregnant, or breastfeeding, ask your doctor before taking this medicine.",Moderate to severe pain,"In Moderate to severe pain Ultracet Tablet effectively relieves moderate to severe pain in conditions like menstrual cramp, arthritis, headache, muscle aches if taken when the first signs of pain occur. It works by reducing substances in the body that causes pain. This gives relief from pain and discomfort and thus improves the quality of your life. Take Ultracet Tablet by mouth as directed by your doctor.",Ultracet Tablet is a combination of two medicines: Tramadol and Paracetamol which relieve severe pain. Tramadol is an opoid analgesic (pain reliever) which works by blocking the transmission of pain signals to the brain to lower pain perception. Paracetamol works by blocking the release of certain chemical messengers that cause pain.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Ultracet Nausea Vomiting Constipation Dizziness Dryness in mouth Sleepiness Diarrhea Abdominal pain Dyspepsia Flatulence Headache Trembling Anxiety Sleep disorder Itching,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Ultracet Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:41
Unicontin-E 400 Tablet CR,Tablet,₹ 267.10,Modi Mundi Pharma Pvt Ltd,400 Tablet,"Unicontin-E 400 Tablet CR is used to treat and prevent symptoms of asthma and chronic obstructive pulmonary disorder (a lung disorder in which flow of air to the lung is blocked). It helps in relaxing the muscles of the air passages, thus widening it and making it easier to breathe. Unicontin-E 400 Tablet CR can be taken with the food in the evening. Take it at the same time every day to get the most benefit. The dose and how often you take it depends on what you are taking it for. Your doctor will decide how much you need to improve your symptoms. Take it for as long as it is prescribed for you. Do not miss even a single dose, if in any case, you missed a dose, take it as soon as you remember it. It does not work immediately or prevent the already started breathing trouble, hence always carry your medical inhaler with you for an emergency. The most common side effects of this medicine include vomiting, headache, nausea, stomach upset, and insomnia. If these bother you or appear seriou",Asthma Chronic obstructive pulmonary disease (COPD),"In Asthma Asthma is a condition in which the airways of the lungs become inflamed and narrowed, leading to symptoms such as wheezing, breathlessness, chest tightness, and coughing. Unicontin-E 400 Tablet CR works by relaxing the muscles around the airways and reducing airway narrowing, which improves airflow to the lungs. This helps in easing breathing, reducing asthma symptoms, and improving the patients ability to carry out daily activities with fewer breathing difficulties. In Chronic obstructive pulmonary disease (COPD) Chronic obstructive pulmonary disease (COPD) is a long-term lung condition that causes persistent breathing problems due to airway obstruction and damage to the lungs. Patients often experience chronic cough, mucus buildup, and shortness of breath, which worsen over time. Unicontin-E 400 Tablet CR helps by widening the airways and reducing inflammation, allowing better movement of air in and out of the lungs. This relieves breathlessness, decreases the frequency of",Unicontin-E 400 Tablet CR is a bronchodilator. It works by relaxing the muscles of the airways and widens airways. This makes breathing easier.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Unicontin-E Vomiting Headache Nausea Upset stomach Insomnia (difficulty in sleeping),"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Unicontin-E 400 Tablet CR may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:41
UNIstar 75 Capsule,Capsule,₹ 183.85,Torrent Pharmaceuticals Ltd,75 Capsule,"UNIstar 75 Capsule is a combination of two medicines used to prevent heart attack, stroke, and angina. This medicine reduces the bad cholesterol (LDL) and triglycerides (fats) levels. Moreover, it also decreases the formation of blood clots. UNIstar 75 Capsule should be taken with food to avoid stomach upset. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you remember to take it. The dose and duration of treatment will depend on what you are being treated for. Do not stop taking it until you have finished the complete course, even when you feel better. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. Nausea, abdominal pain, headache, and constipation are some common side effects of this medicine.This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or enga",Treatment of Prevention of heart attack and stroke Prevention of Angina (heart-related chest pain),"In Treatment of Prevention of heart attack and stroke UNIstar 75 Capsule is a combination medicine that is used to prevent heart attack. It contains rosuvastatin that works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in blood. High levels of cholesterol can cause narrowing of the blood vessels (atherosclerosis). Lowering the amount of cholesterol reduces the chances of heart diseases and stroke and helps one remain healthier for longer. UNIstar 75 Capsule also contains a blood thinner, aspirin, that prevents the formation of blood clots and the existing ones from growing bigger in size. Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well. In Prevention of Angina (heart-related chest pain) UNIstar 75 Capsule prevents the formation of blood clot. This makes blood flow more easily around your body and","Rosuvastatin is a lipid-lowering medication that blocks an enzyme required in the body to make cholesterol. It lowers the bad cholesterol (LDL), triglycerides and raises the good cholesterol (HDL). Aspirin is a non-steroidal anti-inflammatory drug (NSAID) with anti-platelet action. It prevents the platelets from sticking together and decreases the formation of harmful blood clots. This way UNIstar 75 Capsule prevents blockade of blood vessels and reduces risk of heart attack, angina, or stroke.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of UNIstar Nausea Headache Weakness Diabetes Constipation Muscle pain,Take this medicine in the dose and duration as advised by your doctor. UNIstar 75 Capsule is to be taken with food.,21-10-2025 18:41
Unwanted 21 Days Tablet,Tablet,₹ 67,Mankind Pharma Ltd,1 Strip,"Unwanted 21 Days Tablet is a medicine used for contraception (to prevent pregnancy) and in the treatment of irregular periods. It helps to prevent the release of the egg and its fertilization by the sperm. Unwanted 21 Days Tablet can be taken with or without food, but take it at the same time to get the most benefit. It should be taken as per your doctors advice. You will have to take the pill on day one of your menstrual cycle and continue taking it for a whole month. Once the pack gets over, start with a new one. If you experience vomiting within 4 hours of dose intake, take another tablet. In case you missed your dose and you are late by 12 hours in taking the missed dose, use a condom during intercourse for a period of 2 days. Nausea, headache, constipation, fatigue, and breast pain are some commonly seen side effects of this medicine. If these bother you or appear serious, let your doctor know. There may be ways of reducing or preventing them. You might experience spotting or ble",,"In Contraception Unwanted 21 Days Tablet is a contraceptive medicine that stops you from getting pregnant in multiple ways. Firstly, it prevents an egg from being released from your ovaries. Secondly, it makes the fluid (mucus) in your cervix thicker, which makes it more difficult for sperm to enter the womb. Additionally, it prevents thickening of the lining of your womb, thereby making it unfavourable for an egg to grow in it. Unwanted 21 Days Tablet is a reliable and safe method for contraception, if used correctly. It does not interrupt with sex and you can lead a normal routine life without any worries. Take it as directed by the doctor to get the most benefit.",Unwanted 21 Days Tablet is a combined oral contraceptive pill. It works by preventing the release of egg (ovulation) and affecting sperm movement in the womb to prevent its union with the egg. It also changes the lining of the womb and renders it unsuitable for pregnancy.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Unwanted Pregcard Headache Breast pain Nausea Abdominal pain Weight gain Depression Constipation Fatigue,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Unwanted 21 Days Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:41
Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet,Tablet,₹ 76,Mankind Pharma Ltd,72 Tablet,"Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet is an effective contraceptive option used by women to avoid an unintended or unwanted pregnancy. It is usually used after unprotected sex or contraceptive failure (where the contraceptive method was broken/slipped/missed). It must not be used as a regular contraceptive method. Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet comes as a single tablet or dose which can be taken with or without food. It must be taken as soon as possible within 72 hours (3 days) after the first episode of unprotected sex or contraceptive failure has occurred. It works primarily by preventing or delaying the release of an egg from the ovary (also known as ovulation), and therefore, the sooner it is used the better. Overall, Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet is well tolerated. However, like all medicines, it can have some side effects too, but these generally do not last more than 1-2 days and not everyone using it may",Emergency contraception,"In Emergency contraception Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet offers a safe and effective option for preventing unintended pregnancy. It is widely accessible and easy to use, making it a convenient choice for women seeking emergency contraception. Unlike some contraceptive methods, Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet can be taken at any time during the monthly cycle and does not require a physical examination or a prescription. It can also be used by women who cannot use oral contraceptive pills due to contraindications. Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet contains relatively fewer hormones compared to regular contraceptive pills, reducing the potential for metabolic effects over time. Additionally, its short exposure duration minimizes the risk of fetal malformations or congenital defects, and it does not increase the risk of ectopic pregnancy.","Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet is a progestin-only, levonorgestrel-containing emergency contraceptive pill. It works primarily by preventing or delaying the release of an egg from the ovary (a process known as ovulation). Hence, the sooner it is taken the better.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Unwanted-72 Nausea Irregular menstrual cycle Lower abdominal pain Tiredness Headache,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Unwanted-72 Levonorgestrel Emergency Contraceptive Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:41
Unwanted Kit,,,Mankind Pharma Ltd,,"Unwanted Kit is a combination of two medicines, which is used for medical abortion (terminating a pregnancy). This medicine blocks the action of progesterone, a female hormone required to maintain pregnancy and induce contractions in the uterus, which further helps in abortion. Unwanted Kit should be taken with food or as per your doctors advice. You must start with a dose of Mifepristone. It should be taken orally, by swallowing the tablets whole with a glass of water. If you experience vomiting within 30 minutes of tablet intake, inform your doctor or take another tablet. The medicine may take 24- 48 hours to show its action and you might experience spotting or bleeding. After a period of 36-48 hours, you have to take Misoprostol tablet, either orally or vaginally. You are suggested to have proper rest after this dose intake as it may cause severe stomach pain or vaginal bleeding thus leading to abortion. The most common side effects of this medicine include nausea, vomiting, diarrh",Medical abortion,"In Medical abortion Unwanted Kit is used to cause an abortion during the early part of a pregnancy. It is used up to week 10 of pregnancy (up to 70 days after the first day of your last menstrual period). This medicine effectively blocks the natural female hormone, called progesterone, that is needed for your pregnancy to continue. Please use it only as advised by the doctor.","Unwanted Kit is a combination of two medicines: Mifepristone and Misoprostol, which causes abortion. Mifepristone blocks the effects of progesterone, a natural female hormone that is needed for the pregnancy to sustain. Without this hormone, the lining of the uterus (womb) breaks down as it does during a menstrual period and stops the growth of the pregnancy. Misoprostol increases contractions of the uterus to cause abortion.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Unwanted Nausea Vomiting Diarrhea Stomach cramp Uterine contractions Menorrhagia (heavy menstrual bleeding),Take this medicine in the dose and duration as advised by your doctor. Check the label before use. Unwanted Kit is to be taken with food.,21-10-2025 18:41
Uphold Tablet,Tablet,₹ 368.40,Fourrts India Laboratories Pvt Ltd,1 tablet,"Uphold Tablet is a combination of two medicines used in the treatment of premature ejaculation in adult men. It increases blood flow to the penis to help men get an erection. This medicine should be used only when prescribed by a doctor. Uphold Tablet works by helping to relax the blood vessels in your penis, allowing blood to flow into your penis when you get sexually excited. It may be taken with or without food. Take it as advised by your doctor, before having sexual activity. Some common side effects of this medicine include nausea, vomiting, indigestion, headache, flushing (sense of warmth in the face, ears, neck, and trunk), nosebleeds, and dry mouth. It even causes dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. It should be used with caution in patients with a history of seizures, depression, and other psychiatric disorders. Before you take this medicine, let your doctor also know if you have any",Treatment of Premature ejaculation,In Treatment of Premature ejaculation Uphold Tablet increases the level of a chemical called serotonin in the brain. This increases the time taken to ejaculate and improves control over ejaculation. This helps reduce any frustration or worry that you may have due to quick ejaculation and improves your confidence. It is usually taken 1 to 3 hours before sexual activity is anticipated. Do not take this medicine more than once a day.,"Uphold Tablet is a combination of two medicines : Tadalafil and Dapoxetine, which treat premature ejaculation. Tadalafil is a phosphodiesterase type 5 (PDE 5) inhibitor which works by increasing blood flow to the penis during sexual stimulation and enables its erection following sexual stimulation. Dapoxetine is a selective serotonin reuptake inhibitor (SSRI) which increases the level of serotonin in nerves to improve control over ejaculation and increase the time taken to ejaculate.","Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Uphold Nausea Vomiting Indigestion Headache Flushing (sense of warmth in the face, ears, neck and trunk) Dizziness Nosebleeds Dryness in mouth Limb pain","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Uphold Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:41
Uprise-D3 60K Soft Gelatin Capsule,Capsule,₹ 394.63,Alkem Laboratories Ltd,3 Capsule,"Uprise-D3 60K Soft Gelatin Capsule is used in the treatment of vitamin D deficiency and osteoporosis. It helps the body to absorb calcium. Calcium is essential for maintaining strong and healthy bones. It is used when your diet does not provide enough calcium. Uprise-D3 60K Soft Gelatin Capsule should be taken as directed by your doctor. It is best taken with or after food, as this helps your body absorb it, and you should take it regularly to get the most benefits. If you are using it to treat osteoporosis, you will also be prescribed other medicines. This medicine may be only part of a complete treatment program that includes making changes to your diet and taking calcium and vitamin supplements. Learn about the foods you should eat to ensure you get enough calcium and vitamin D. Uprise-D3 60K Soft Gelatin Capsule has few side effects, and none are common. If you take too much, you may feel weakness, muscle pain, or a metallic taste in your mouth. If you experience any such side effe",Treatment of Osteoporosis Treatment of Vitamin D deficiency,"In Treatment of Osteoporosis Osteoporosis is a common condition that weakens bones, making them fragile and more likely to break. It often occurs in women after menopause. Vitamin D is important for calcium absorption and helps regulate the amount of calcium and phosphate in your body. If you do not have enough calcium, it can damage your bones. Vitamin D will help keep your bones strong and healthy and reduce the risk of them becoming weak and more likely to break. Regular exercise (especially weight-bearing exercise), healthy foods containing calcium and vitamin D, and reducing alcohol and tobacco consumption can help improve bone strength. In Treatment of Vitamin D deficiency Normally, your body creates vitamin D from sunlight, but if you do not have enough, you will be prescribed this medicine as a supplement. It is important to keep taking it regularly to get the benefits. You may not notice it working, but keep taking it to protect your bones. Additionally, it can boost your immu","Uprise-D3 60K Soft Gelatin Capsule is a form of vitamin D. It raises vitamin D levels in your blood. This, in turn, increases calcium levels in your blood by helping you absorb more calcium from food.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Uprise No common side effects seen,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Uprise-D3 60K Soft Gelatin Capsule is to be taken with food.",21-10-2025 18:41
UriBID Tablet,Tablet,₹ 129.81,Intas Pharmaceuticals Ltd,10 ml,"UriBID Tablet is an antibiotic that fights bacteria. It is used to treat and prevent bacterial infections of the urinary tract. It works by killing the bacteria that cause such disease. But, it will not treat a viral infection. UriBID Tablet should be taken in the dose and duration as advised by the doctor. You may take it with food to avoid nausea, which is a common side effect. It is better to have this medicine at the same time each day to get the most benefit and you should keep on taking this medicine for as long as you are prescribed it, even if your symptoms quickly improve. If you stop taking it too early the infection may return or worsen. Some people may develop side effects like nausea, vomiting, and diarrhea. These side effects are usually temporary and go away during treatment as your body adjusts to the medicine. Consult your doctor if these side effects bother you or do not go away. This medicine may turn your urine into dark yellow or brown color. But, this is normal an",Treatment of Bacterial infections of urinary tract,"In Treatment of Bacterial infections of urinary tract UriBID Tablet works by stopping the growth of the bacteria in the urine that cause urinary tract infections. This medicine usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed even when you feel better, to make sure that all bacteria are killed and do not become resistant.",UriBID Tablet is an antibiotic. It works by killing the bacteria in the urine that causes infection.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of UriBID Nausea Vomiting Diarrhea,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. UriBID Tablet is to be taken with food.",21-10-2025 18:41
Urikind-K Solution,,₹ 90.38,Mankind Pharma Ltd,5 ml,"Urikind-K Solution is a combination medicine that is used in the treatment of kidney stones. It prevents further formation of kidney stones by raising the pH of urine and prevents the formation, growth, and aggregation of crystals in the kidneys. Urikind-K Solution should be used in the dose and duration as advised by the doctor. Check the label before use. Do not take this medicine more than the recommended dose. It is better to take this medicine at a fixed time. Inform your doctor if you are taking any medicine or have any known allergy to this medicine. The common side effects of this medicine include nausea, vomiting, diarrhea, and stomach pain. Usually, these symptoms are well tolerated and are for a short duration. However, if these symptoms persist for a longer duration, please consult your doctor. Inform your doctor if you are pregnant or breastfeeding or suffering from any other disease.",Treatment of Kidney stone,"In Treatment of Kidney stone Urikind-K Solution is combination medicine that helps in the treatment and prevents formation of kidney stones. It inhibits stone formation and breaks up small stones that are beginning to form. This medicine helps to form a protective coating on the existing stones and helps prevent other particles from sticking to its surface and becoming bigger in size. Keep taking it as prescribed to get the most benefit. Eat citrus rich fruits such as lemons, oranges etc., and drink adequate amounts of fluids to prevent formation of kidney stones.","Urikind-K Solution is a combination of two medicines: Citric Acid and Potassium Citrate, which prevents kidney stones. It raises urine pH and prevents the formation, growth and aggregation of crystals in the kidneys, thereby preventing stones.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Urikind-K Nausea Vomiting Diarrhea Stomach pain,Take this medicine in the dose and duration as advised by your doctor. Check the label for directions before use. Measure it with a measuring cup and take it by mouth. Shake well before use. Urikind-K Solution is to be taken with food.,21-10-2025 18:42
